0.000000000000000000e+00,9.993301331996917725e-02,1.988655328750610352e-01,2.958070933818817139e-01,3.897871077060699463e-01,4.798647165298461914e-01,5.651380419731140137e-01,6.447534561157226562e-01,7.179138064384460449e-01,7.838866114616394043e-01
9.993301331996917725e-02,1.988655328750610352e-01,2.958070933818817139e-01,3.897871077060699463e-01,4.798647165298461914e-01,5.651380419731140137e-01,6.447534561157226562e-01,7.179138064384460449e-01,7.838866114616394043e-01,8.420113921165466309e-01
1.988655328750610352e-01,2.958070933818817139e-01,3.897871077060699463e-01,4.798647165298461914e-01,5.651380419731140137e-01,6.447534561157226562e-01,7.179138064384460449e-01,7.838866114616394043e-01,8.420113921165466309e-01,8.917062878608703613e-01
2.958070933818817139e-01,3.897871077060699463e-01,4.798647165298461914e-01,5.651380419731140137e-01,6.447534561157226562e-01,7.179138064384460449e-01,7.838866114616394043e-01,8.420113921165466309e-01,8.917062878608703613e-01,9.324736595153808594e-01
3.897871077060699463e-01,4.798647165298461914e-01,5.651380419731140137e-01,6.447534561157226562e-01,7.179138064384460449e-01,7.838866114616394043e-01,8.420113921165466309e-01,8.917062878608703613e-01,9.324736595153808594e-01,9.639054536819458008e-01
4.798647165298461914e-01,5.651380419731140137e-01,6.447534561157226562e-01,7.179138064384460449e-01,7.838866114616394043e-01,8.420113921165466309e-01,8.917062878608703613e-01,9.324736595153808594e-01,9.639054536819458008e-01,9.856869578361511230e-01
5.651380419731140137e-01,6.447534561157226562e-01,7.179138064384460449e-01,7.838866114616394043e-01,8.420113921165466309e-01,8.917062878608703613e-01,9.324736595153808594e-01,9.639054536819458008e-01,9.856869578361511230e-01,9.976000785827636719e-01
6.447534561157226562e-01,7.179138064384460449e-01,7.838866114616394043e-01,8.420113921165466309e-01,8.917062878608703613e-01,9.324736595153808594e-01,9.639054536819458008e-01,9.856869578361511230e-01,9.976000785827636719e-01,9.995255470275878906e-01
7.179138064384460449e-01,7.838866114616394043e-01,8.420113921165466309e-01,8.917062878608703613e-01,9.324736595153808594e-01,9.639054536819458008e-01,9.856869578361511230e-01,9.976000785827636719e-01,9.995255470275878906e-01,9.914441108703613281e-01
7.838866114616394043e-01,8.420113921165466309e-01,8.917062878608703613e-01,9.324736595153808594e-01,9.639054536819458008e-01,9.856869578361511230e-01,9.976000785827636719e-01,9.995255470275878906e-01,9.914441108703613281e-01,9.734366536140441895e-01
8.420113921165466309e-01,8.917062878608703613e-01,9.324736595153808594e-01,9.639054536819458008e-01,9.856869578361511230e-01,9.976000785827636719e-01,9.995255470275878906e-01,9.914441108703613281e-01,9.734366536140441895e-01,9.456835389137268066e-01
