9.301725291284050970e-03,1.879892995975433398e-02,2.627941450237216564e-02,3.119589205087074449e-02,3.422174948120900589e-02,3.609646922998975549e-02,3.734209961961481444e-02,3.827728125182019991e-02,3.908251725818134847e-02,3.985470783892238605e-02,4.064325140917982027e-02
1.308308437126774748e-02,2.626598653461140187e-02,3.595471990626149250e-02,4.181614286043892903e-02,4.498753996041099379e-02,4.655314502798231502e-02,4.724411824197619070e-02,4.749494347504543829e-02,4.754859268726380900e-02,4.753725281188114771e-02,4.753281301172099932e-02
1.593495847476446986e-02,3.187165141453882772e-02,4.355552830527401054e-02,5.090835917565738472e-02,5.534620694938859053e-02,5.807246941873357715e-02,5.982381096137254217e-02,6.099132326186045699e-02,6.176871780940169226e-02,6.225224754596300064e-02,6.249580853758061189e-02
1.693337682801832056e-02,3.262384976297179329e-02,4.322986402327677613e-02,4.943882502994938893e-02,5.307907813645371814e-02,5.544812245118703464e-02,5.723276443986732853e-02,5.874416714910289661e-02,6.011017378784497961e-02,6.138071286168438750e-02,6.257553205823034037e-02
1.660540936374369989e-02,3.045714379763055091e-02,3.878546395474816860e-02,4.302558558118314141e-02,4.519609330895506261e-02,4.650736518862324392e-02,4.750343393927831948e-02,4.838686706111593183e-02,4.922383763864526113e-02,5.003721073587774626e-02,5.084041470851120847e-02
1.583010888067993421e-02,2.793428958901691614e-02,3.451067301667804649e-02,3.742781978802422332e-02,3.870311885571358496e-02,3.939570202631510060e-02,3.990978218060995536e-02,4.036136016916153785e-02,4.077360537516946937e-02,4.115174852259047972e-02,4.150372799333940099e-02
1.505866310222235722e-02,2.596533737639139527e-02,3.146495823215285370e-02,3.364220808600891510e-02,3.446321909991341415e-02,3.486025831665202218e-02,3.514106628972608892e-02,3.537124599281531168e-02,3.555423029708586896e-02,3.569025549215464749e-02,3.578734968099416686e-02
1.439769197339733388e-02,2.457948059543490701e-02,2.946629855729528125e-02,3.125095669558894396e-02,3.184893118633033704e-02,3.210270144283989407e-02,3.226200940942488410e-02,3.236874639686086047e-02,3.242142875543987945e-02,3.242204091791336951e-02,3.238096072509818318e-02
1.016814404959534048e-02,2.044585356273604868e-02,2.843996996638822536e-02,3.364579053767088879e-02,3.679997215287768991e-02,3.869326288425567473e-02,3.988216544260934915e-02,4.070684112800473931e-02,4.136122740073007453e-02,4.195104992811408973e-02,4.253203431843949334e-02
1.428817302463447625e-02,2.863623627775076230e-02,3.913906381087949027e-02,4.550540307590673905e-02,4.897679805472570508e-02,5.072680413999323262e-02,5.154393114298441714e-02,5.189157444273125031e-02,5.202190182021527304e-02,5.206498795617290481e-02,5.208575943552154475e-02
1.714026652167600570e-02,3.407051073366208077e-02,4.631508547710000423e-02,5.395144553012573563e-02,5.855057148742234818e-02,6.141380647892743377e-02,6.332936026385334316e-02,6.470859749162602426e-02,6.574584011662941430e-02,6.652685472056552030e-02,6.708984507590841362e-02
1.787669333719257153e-02,3.412790321961952505e-02,4.493647681164646829e-02,5.122088977949895705e-02,5.493870506122420366e-02,5.744331388405816974e-02,5.943529379058139217e-02,6.121366075150456304e-02,6.288214539529417280e-02,6.446611942656027550e-02,6.596666204228386621e-02
1.721523461149039591e-02,3.128968165444189625e-02,3.964481143431496102e-02,4.389501984767353593e-02,4.613039914730278357e-02,4.759456986556578895e-02,4.883545381759069742e-02,5.003317900430311743e-02,5.121913586830337956e-02,5.238377342704463729e-02,5.351802396075885232e-02
