1.663701093542590270e-01,-1.770028520911175185e-01,-3.681456817472270049e-01,3.683053140202387221e-02,-3.815517304393010733e-01,3.069859391112892966e-01,-3.695802897214307547e-01
-2.556525761730488178e-01,3.422576648421495338e-01,-1.873597636892249119e-01,-3.885502528998627941e-02,3.869698675557670109e-02,2.279901942034926743e-01,-3.401201840544788579e-01
-1.590546022773069446e-01,-2.434908599267824048e-01,-3.229962984111650615e-01,-2.581665420022309920e-01,-3.173034963079046089e-01,-2.780984155073996655e-01,-1.836502155126074898e-01
2.380668956152719173e-01,2.371972155002939342e-01,1.233035255296026506e-01,-1.287506795132422055e-01,3.290240809444767989e-02,1.115538829300167373e-01,-2.285989492164489656e-01
3.316655574021530883e-01,-3.722099509677945228e-01,-3.444969172151296499e-01,2.993692525458568898e-02,-2.527824144553575958e-01,1.036468995398259346e-01,1.103936007500210675e-01
-2.252562227788627511e-02,2.805586475080464048e-02,1.712680739210552250e-01,-3.520489113614319598e-02,-2.783065657873809995e-01,1.789398327320544380e-01,-2.841623879159450028e-01
-3.096142952277480265e-01,8.387484157499151827e-02,-3.713369604782199018e-01,-2.764997749090287171e-01,1.255908883036172541e-01,-1.952452372775453637e-01,-8.462462642268710894e-03
-9.612867641248161454e-02,3.754224210048713872e-01,-3.415229277685818410e-01,2.514693876754784535e-02,-6.013123404936360217e-02,3.680274940015941521e-02,3.200001436012788192e-01
-1.433272834013470387e-01,-2.023014051272291336e-01,2.058446570707161694e-01,1.815682922570173441e-01,-7.274942657562242891e-03,-2.317274805046997121e-01,-2.174190035169678570e-01
-3.894696597422644957e-01,-3.824631292283488526e-01,1.460507812417906615e-01,3.708001303170089386e-02,-2.977339350126759765e-01,-3.807677549021529217e-02,2.431700551189145132e-01
-7.771376944287820658e-03,2.465592086991940657e-01,-1.203588045246055255e-01,3.553137861560136668e-01,-3.657225976989790239e-01,-2.624441170525851907e-01,-4.946089799831919487e-02
-1.225837836402881992e-01,2.117111548254861642e-01,2.780063665815804552e-01,2.942392068934914229e-01,3.874607380783369193e-01,-5.127315075482294371e-02,-2.328581918335948242e-01
1.649839398594739881e-01,-3.805164611143898590e-01,-1.650223132927614578e-01,-2.582961914304706674e-01,-3.257184429039327450e-02,2.724488186838885384e-01,2.070021045222701361e-01
9.274905036659335245e-02,1.176672502318156649e-01,-2.060480926249680100e-01,-2.740001770943024106e-01,3.432900651408536952e-01,-7.382616157564433901e-02,2.018898430942208111e-01
-1.332880863659736681e-01,2.503694739685256021e-01,-3.350187867065342051e-02,-2.432464997837833764e-01,-1.302998086620372475e-01,-2.722262723473989898e-01,1.151406525926446239e-01
4.328602804964525735e-02,-9.035228810913860376e-02,-2.362094251158086411e-01,2.090820754730880471e-01,-6.867713537560492243e-02,-3.108383170463010613e-03,1.417259717391387841e-01
6.918580353545127071e-02,-5.297758232991127761e-03,-1.581641970477567216e-01,1.364146801090649341e-01,-1.300915158516613157e-01,7.650314100752104995e-02,1.297081132952340454e-01
3.703221955223680029e-01,-2.909300564937394862e-02,-3.494804796909867783e-01,-5.507356837774180641e-02,2.978553419253057166e-01,-2.176347149334757480e-01,2.753814896113430111e-01
1.306655399980875543e-01,-6.640415817556062639e-02,-2.249450495059590605e-02,-3.913020130489175963e-01,2.969203489334356072e-01,2.391704052546843873e-01,-2.540039789535734616e-01
-6.376542462780653009e-02,-3.927421349341944645e-02,3.385790895349218288e-01,-3.432250297812407536e-01,-1.397591564507002226e-01,1.124035043626897545e-01,-1.508380710963946325e-01
-1.120026566491498926e-01,7.892666502221484803e-02,4.155282821257645642e-02,-3.184426095402502210e-01,-2.462760956175161497e-01,-2.839114368145105871e-01,-3.908414311792160478e-01
-3.288634647757519569e-01,-3.009375622876537745e-02,-2.875116510407304538e-01,1.793857231248702222e-01,-2.638205399338963142e-01,9.698900565522100559e-02,-7.444188278027535910e-02
-1.221293247824822570e-01,3.113874539825700061e-01,-1.128958811462152934e-01,4.090965990423313381e-02,1.653918237264049573e-01,1.151661538157650877e-01,-1.575853687540899051e-01
8.106372328776960401e-02,2.877984412275550255e-02,1.872717571044562046e-01,-2.092045018008089896e-01,-2.403590811515335102e-01,-1.602857807953415176e-02,3.092551434495565688e-01
1.960169173664720044e-01,-7.011583465833484685e-02,3.681216472577558130e-01,-6.606003680801790512e-02,-8.665091274166404622e-03,-3.948204117164251792e-01,1.305617966580874534e-01
-2.954186669905164639e-02,-2.753201250310037818e-01,-2.686166233862994912e-01,2.391058375783527701e-01,3.561140175682914744e-01,-2.985532965982073406e-01,2.407548666992764541e-01
3.208035056693137599e-01,-1.726287020019816876e-01,6.583281405999615032e-02,-2.077562826053573619e-01,1.211034522205982067e-01,1.528616390170712581e-02,-3.212280710273147100e-01
-3.783224938527915970e-01,-3.868032813906008283e-01,1.290991237293495908e-01,7.433795278021694541e-02,-3.263161368949486496e-01,6.776310447395086922e-02,-1.737541955438044183e-01
