0.000000000000000000e+00,9.993301616303926216e-02,1.988655363374985663e-01,2.958070811665539090e-01,3.897871042737207636e-01,4.798647090490942846e-01,5.651380685920270874e-01,6.447534545009242501e-01,7.179137841169259682e-01,7.838866006493300231e-01
9.993301616303926216e-02,1.988655363374985663e-01,2.958070811665539090e-01,3.897871042737207636e-01,4.798647090490942846e-01,5.651380685920270874e-01,6.447534545009242501e-01,7.179137841169259682e-01,7.838866006493300231e-01,8.420114062884005435e-01
1.988655363374985663e-01,2.958070811665539090e-01,3.897871042737207636e-01,4.798647090490942846e-01,5.651380685920270874e-01,6.447534545009242501e-01,7.179137841169259682e-01,7.838866006493300231e-01,8.420114062884005435e-01,8.917062748888882062e-01
2.958070811665539090e-01,3.897871042737207636e-01,4.798647090490942846e-01,5.651380685920270874e-01,6.447534545009242501e-01,7.179137841169259682e-01,7.838866006493300231e-01,8.420114062884005435e-01,8.917062748888882062e-01,9.324736780202823594e-01
3.897871042737207636e-01,4.798647090490942846e-01,5.651380685920270874e-01,6.447534545009242501e-01,7.179137841169259682e-01,7.838866006493300231e-01,8.420114062884005435e-01,8.917062748888882062e-01,9.324736780202823594e-01,9.639054660553243448e-01
4.798647090490942846e-01,5.651380685920270874e-01,6.447534545009242501e-01,7.179137841169259682e-01,7.838866006493300231e-01,8.420114062884005435e-01,8.917062748888882062e-01,9.324736780202823594e-01,9.639054660553243448e-01,9.856869544277879758e-01
5.651380685920270874e-01,6.447534545009242501e-01,7.179137841169259682e-01,7.838866006493300231e-01,8.420114062884005435e-01,8.917062748888882062e-01,9.324736780202823594e-01,9.639054660553243448e-01,9.856869544277879758e-01,9.976000741492777601e-01
6.447534545009242501e-01,7.179137841169259682e-01,7.838866006493300231e-01,8.420114062884005435e-01,8.917062748888882062e-01,9.324736780202823594e-01,9.639054660553243448e-01,9.856869544277879758e-01,9.976000741492777601e-01,9.995255550431251246e-01
7.179137841169259682e-01,7.838866006493300231e-01,8.420114062884005435e-01,8.917062748888882062e-01,9.324736780202823594e-01,9.639054660553243448e-01,9.856869544277879758e-01,9.976000741492777601e-01,9.995255550431251246e-01,9.914441198375697484e-01
7.838866006493300231e-01,8.420114062884005435e-01,8.917062748888882062e-01,9.324736780202823594e-01,9.639054660553243448e-01,9.856869544277879758e-01,9.976000741492777601e-01,9.995255550431251246e-01,9.914441198375697484e-01,9.734366771633683468e-01
8.420114062884005435e-01,8.917062748888882062e-01,9.324736780202823594e-01,9.639054660553243448e-01,9.856869544277879758e-01,9.976000741492777601e-01,9.995255550431251246e-01,9.914441198375697484e-01,9.734366771633683468e-01,9.456835115235996403e-01
8.917062748888882062e-01,9.324736780202823594e-01,9.639054660553243448e-01,9.856869544277879758e-01,9.976000741492777601e-01,9.995255550431251246e-01,9.914441198375697484e-01,9.734366771633683468e-01,9.456835115235996403e-01,9.084624783454199326e-01
9.324736780202823594e-01,9.639054660553243448e-01,9.856869544277879758e-01,9.976000741492777601e-01,9.995255550431251246e-01,9.914441198375697484e-01,9.734366771633683468e-01,9.456835115235996403e-01,9.084624783454199326e-01,8.621462221843062546e-01
9.639054660553243448e-01,9.856869544277879758e-01,9.976000741492777601e-01,9.995255550431251246e-01,9.914441198375697484e-01,9.734366771633683468e-01,9.456835115235996403e-01,9.084624783454199326e-01,8.621462221843062546e-01,8.071984459311993820e-01
9.856869544277879758e-01,9.976000741492777601e-01,9.995255550431251246e-01,9.914441198375697484e-01,9.734366771633683468e-01,9.456835115235996403e-01,9.084624783454199326e-01,8.621462221843062546e-01,8.071984459311993820e-01,7.441692683739976610e-01
9.976000741492777601e-01,9.995255550431251246e-01,9.914441198375697484e-01,9.734366771633683468e-01,9.456835115235996403e-01,9.084624783454199326e-01,8.621462221843062546e-01,8.071984459311993820e-01,7.441692683739976610e-01,6.736897165919456532e-01
9.995255550431251246e-01,9.914441198375697484e-01,9.734366771633683468e-01,9.456835115235996403e-01,9.084624783454199326e-01,8.621462221843062546e-01,8.071984459311993820e-01,7.441692683739976610e-01,6.736897165919456532e-01,5.964654083232272530e-01
